DY,MO,HR,solar radiation,module_temp,wind direction,wind speed,power
23,1,17,0.0,0.0,1.99,1.2,0.0
23,1,18,0.0,19.0,2.36,1.3,0.0
24,1,6,37.385,15.684,3.24,2.1,15.119
24,1,7,264.688,25.037,3.4,2.1,132.788
24,1,8,518.834,36.003,3.44,2.1,254.222
24,1,9,712.869,45.457,3.3,1.9,333.866
24,1,10,838.515,53.623,3.26,1.4,377.181
24,1,11,864.161,55.973,2.78,1.3,383.389
24,1,12,832.18,53.424,2.11,1.6,373.67
24,1,13,707.287,47.874,1.56,1.9,326.648
24,1,14,527.641,41.933,1.3,1.9,251.203
24,1,15,300.695,34.295,1.28,1.4,146.756
24,1,16,71.118,24.411,1.09,1.1,31.655
24,1,17,0.0,0.0,0.61,1.2,0.0
24,1,18,0.0,19.9,0.94,1.2,0.0
25,1,6,47.033,17.113,3.28,2.2,19.086
25,1,7,280.977,26.338,4.0,2.2,140.478
25,1,8,511.862,36.332,3.91,2.2,250.353
25,1,9,710.586,46.319,3.78,1.8,331.396
25,1,10,835.943,55.131,3.74,1.2,373.367
25,1,11,879.697,58.884,3.08,1.0,385.438
25,1,12,845.568,58.766,2.82,0.9,371.232
25,1,13,737.292,54.097,2.72,1.0,332.071
25,1,14,544.402,46.133,2.9,1.1,255.045
25,1,15,324.462,37.028,3.02,1.0,157.118
25,1,16,87.228,26.487,2.87,0.8,38.523
25,1,17,0.0,0.0,2.13,0.9,0.0
25,1,18,0.0,21.4,2.22,0.9,0.0
26,1,6,53.832,17.982,3.15,1.3,21.828
26,1,7,288.608,28.91,3.77,1.3,142.937
26,1,8,535.914,40.789,3.72,1.3,257.943
26,1,9,709.155,48.615,2.97,1.4,328.343
26,1,10,814.207,53.445,2.97,1.4,366.699
26,1,11,907.299,58.724,2.07,1.2,398.3
26,1,12,882.435,60.721,1.94,0.9,384.721
26,1,13,664.766,55.539,2.13,0.5,297.064
26,1,14,590.282,52.717,2.09,0.4,269.976
26,1,15,357.984,40.464,2.33,0.6,171.757
26,1,16,107.473,27.716,2.32,0.9,47.246
26,1,17,0.0,0.0,1.94,1.1,0.0
26,1,18,0.0,20.9,2.11,1.2,0.0
27,1,6,54.026,18.368,2.6,1.6,21.513
27,1,7,289.481,27.633,2.24,1.8,144.118
27,1,8,535.122,38.967,2.27,1.5,259.464
27,1,9,733.644,50.15,1.44,1.1,337.239
27,1,10,868.54,61.889,0.57,0.5,377.111
27,1,11,917.663,65.256,0.75,0.5,391.395
27,1,12,890.911,60.409,1.62,1.0,388.967
27,1,13,781.161,54.017,2.01,1.4,352.698
27,1,14,597.401,47.02,2.36,1.5,280.001
27,1,15,366.133,38.49,2.7,1.2,177.325
27,1,16,114.526,27.361,2.56,1.0,50.473
27,1,17,0.0,0.0,1.97,1.1,0.0
27,1,18,0.0,21.0,1.85,1.1,0.0
28,1,6,52.958,17.519,2.67,2.0,21.44
28,1,7,288.098,27.417,2.39,1.9,143.53
28,1,8,535.015,39.39,2.57,1.6,258.809
28,1,9,734.297,51.912,1.56,1.0,334.851
28,1,10,869.515,62.924,1.24,0.5,375.611
28,1,11,904.435,64.175,1.19,0.6,387.262
28,1,12,875.407,59.084,1.08,1.1,384.014
28,1,13,765.125,52.738,1.01,1.5,346.877
28,1,14,569.214,45.424,0.98,1.6,267.684
28,1,15,337.195,36.935,1.11,1.3,163.675
28,1,16,99.868,26.571,1.14,1.0,44.658
28,1,17,0.0,0.0,1.22,1.2,0.0
28,1,18,0.0,20.7,1.56,1.2,0.0
29,1,6,44.978,18.058,2.55,1.8,18.131
29,1,7,276.342,27.945,2.02,1.8,137.216
29,1,8,509.545,39.453,2.16,1.5,245.968
29,1,9,712.57,51.334,1.49,1.0,325.327
29,1,10,845.678,59.201,1.08,0.8,371.044
29,1,11,910.072,60.866,0.7,1.0,395.536
29,1,12,880.595,58.034,0.93,1.3,388.158
29,1,13,769.586,53.08,1.62,1.5,348.499
29,1,14,590.082,46.083,1.89,1.7,277.293
29,1,15,350.675,37.418,2.31,1.4,170.312
29,1,16,105.973,26.701,2.31,1.2,47.305
29,1,17,0.0,0.0,2.0,1.4,0.0
29,1,18,0.0,20.7,2.22,1.5,0.0
30,1,6,30.299,17.032,1.56,2.6,12.413
30,1,7,246.238,24.591,1.39,2.9,123.473
30,1,8,483.396,33.917,1.24,2.5,237.459
30,1,9,675.464,45.106,0.6,1.5,315.316
30,1,10,806.463,53.989,0.56,1.0,360.777
30,1,11,871.668,53.812,0.91,1.5,389.349
30,1,12,852.346,50.082,1.55,2.2,387.56
30,1,13,746.849,45.46,1.98,2.7,348.255
30,1,14,591.804,40.228,2.33,3.0,284.567
30,1,15,363.663,33.865,2.34,2.5,179.377
30,1,16,123.67,25.243,1.96,1.7,55.743
30,1,17,0.0,0.0,1.78,1.6,0.0
30,1,18,0.0,18.6,1.85,1.5,0.0
31,1,6,97.558,14.168,1.71,1.5,39.46
31,1,7,372.686,26.529,1.42,1.5,187.601
31,1,8,625.922,39.203,1.43,1.4,304.748
31,1,9,833.458,48.426,0.93,1.5,386.869
